Run Number,Polarization,Error
4273.0,82.334,0.07
4274.0,82.334,0.07
4275.0,82.334,0.07
4284.0,82.334,0.07
4285.0,82.334,0.07
4286.0,82.334,0.07
4288.0,82.334,0.07
4289.0,82.334,0.07
4290.0,82.334,0.07
4292.0,82.334,0.07
4293.0,82.334,0.07
4294.0,82.334,0.07
4297.0,82.334,0.07
4298.0,82.334,0.07
4299.0,82.334,0.07
4300.0,82.334,0.07
4302.0,82.334,0.07
4303.0,82.334,0.07
4304.0,82.334,0.07
4305.0,82.334,0.07
4307.0,82.334,0.07
4308.0,82.334,0.07
4309.0,82.334,0.07
4310.0,82.334,0.07
4311.0,82.334,0.07
4315.0,82.334,0.07
4316.0,82.334,0.07
4320.0,82.334,0.07
4321.0,82.334,0.07
4322.0,82.334,0.07
4323.0,82.334,0.07
4324.0,82.334,0.07
4325.0,82.334,0.07
4328.0,82.334,0.07
4329.0,82.334,0.07
4330.0,82.334,0.07
4331.0,82.334,0.07
4332.0,82.334,0.07
4333.0,82.334,0.07
4334.0,82.334,0.07
4335.0,82.334,0.07
4339.0,82.334,0.07
4341.0,82.334,0.07
4343.0,82.334,0.07
4344.0,82.334,0.07
4354.0,82.334,0.07
4355.0,82.334,0.07
4356.0,82.334,0.07
4357.0,82.334,0.07
4359.0,82.334,0.07
4360.0,82.334,0.07
4361.0,82.334,0.07
4362.0,82.334,0.07
4363.0,82.334,0.07
4364.0,82.334,0.07
4365.0,82.334,0.07
4367.0,82.334,0.07
4368.0,82.334,0.07
4370.0,82.334,0.07
4371.0,82.334,0.07
4372.0,82.334,0.07
4374.0,82.334,0.07
4375.0,82.334,0.07
4376.0,82.334,0.07
4377.0,82.334,0.07
4378.0,82.334,0.07
4379.0,82.334,0.07
4470.0,82.334,0.07
4471.0,82.334,0.07
4474.0,82.334,0.07
4475.0,82.334,0.07
4476.0,82.334,0.07
4478.0,82.334,0.07
4479.0,82.334,0.07
4482.0,82.334,0.07
4483.0,82.334,0.07
4486.0,82.334,0.07
4487.0,82.334,0.07
4488.0,82.334,0.07
4490.0,82.334,0.07
4491.0,82.334,0.07
4492.0,82.334,0.07
4493.0,82.334,0.07
4494.0,82.334,0.07
4495.0,82.334,0.07
4497.0,82.334,0.07
4498.0,82.334,0.07
4503.0,82.334,0.07
4507.0,82.334,0.07
4510.0,82.334,0.07
4512.0,82.334,0.07
4514.0,82.334,0.07
4522.0,82.334,0.07
4523.0,82.334,0.07
4524.0,82.334,0.07
4526.0,82.334,0.07
4540.0,82.334,0.07
4543.0,82.334,0.07
4547.0,82.334,0.07
4549.0,82.334,0.07
4552.0,82.334,0.07
4554.0,82.334,0.07
4555.0,82.334,0.07
4556.0,82.334,0.07
4557.0,82.334,0.07
4559.0,82.334,0.07
4560.0,82.334,0.07
4562.0,82.334,0.07
4569.0,82.334,0.07
4570.0,82.334,0.07
4571.0,82.334,0.07
4572.0,82.334,0.07
4573.0,82.334,0.07
4574.0,82.334,0.07
4575.0,82.334,0.07
4576.0,82.334,0.07
4577.0,82.334,0.07
4578.0,82.334,0.07
4579.0,82.334,0.07
4580.0,82.334,0.07
4581.0,82.334,0.07
4582.0,82.334,0.07
4583.0,82.334,0.07
4584.0,82.334,0.07
4585.0,82.334,0.07
4586.0,82.334,0.07
4587.0,82.334,0.07
5044.0,80.795,0.097
5045.0,80.795,0.097
5046.0,80.795,0.097
5047.0,80.795,0.097
5048.0,80.795,0.097
5049.0,80.795,0.097
5053.0,80.795,0.097
5054.0,80.795,0.097
5086.0,80.795,0.097
5090.0,80.795,0.097
5091.0,80.795,0.097
5093.0,80.795,0.097
5094.0,80.795,0.097
5095.0,80.795,0.097
5096.0,80.795,0.097
5099.0,80.795,0.097
5100.0,80.795,0.097
5101.0,80.795,0.097
5102.0,80.795,0.097
5103.0,80.795,0.097
5104.0,80.795,0.097
5105.0,80.795,0.097
5106.0,80.795,0.097
5107.0,80.795,0.097
5108.0,80.795,0.097
5109.0,80.795,0.097
5110.0,80.795,0.097
5112.0,80.795,0.097
5113.0,80.795,0.097
5114.0,80.795,0.097
5115.0,80.795,0.097
5116.0,80.795,0.097
5120.0,80.795,0.097
5121.0,80.795,0.097
5122.0,80.795,0.097
5124.0,80.795,0.097
5126.0,80.795,0.097
5127.0,80.795,0.097
5129.0,80.795,0.097
5135.0,80.795,0.097
5140.0,80.795,0.097
5142.0,80.795,0.097
5143.0,80.795,0.097
5145.0,80.795,0.097
5146.0,80.795,0.097
5147.0,80.795,0.097
5148.0,80.795,0.097
5152.0,80.795,0.097
5153.0,80.795,0.097
5154.0,80.795,0.097
5155.0,80.795,0.097
5156.0,80.795,0.097
5164.0,80.795,0.097
5165.0,80.795,0.097
5167.0,80.795,0.097
5176.0,80.795,0.097
5183.0,80.795,0.097
5185.0,80.795,0.097
5186.0,80.795,0.097
5187.0,80.795,0.097
5188.0,80.795,0.097
5301.0,80.795,0.097
5302.0,80.795,0.097
5303.0,80.795,0.097
5315.0,80.795,0.097
